culture,event_name,group,dominant_race_list,existence_race_list,img_path
Africa,Battle of Mombasa,Mazrui Rulers,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Mazrui Rulers_Battle_of_Mombasa.png
Africa,Sa'id bin Sultan’s Migration to Zanzibar,Zanzibari Locals,['Black'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Zanzibari Locals_Sa'id_bin_Sultan’s_Migration_to_Zanzibar.png
Africa,Peruvian Merchants in Zanzibar Trade,Peruvian Trading Delegations,['Latino'],"['Black', 'White', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Peruvian Trading Delegations_Peruvian_Merchants_in_Zanzibar_Trade.png
Africa,Chilean Emissaries to Ethiopian Empire,Chilean Diplomats,"['Latino', 'White']","['Latino', 'Black', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/default/race/Chilean Diplomats_Chilean_Emissaries_to_Ethiopian_Empire.png
Africa,Shaka's Reign and Zulu Expansion,Shaka's Advisors,"['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']","['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Shaka's Advisors_Shaka's_Reign_and_Zulu_Expansion.png
Africa,Amakhosi Resisting British Colonial Expansion,Amakhosi Chiefs,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Amakhosi Chiefs_Amakhosi_Resisting_British_Colonial_Expansion.png
Africa,Indian Fishing Communities Established in Seychelles,Seychelles Colonial Authorities,['White'],"['Indian', 'Black', 'White']",./factuality-tax-t2i/img_output/default/race/Seychelles Colonial Authorities_Indian_Fishing_Communities_Established_in_Seychelles.png
Africa,Chinese Artisans Influence Local Craftsmanship in Mozambique,Portuguese Colonial Administrators,['White'],['White'],./factuality-tax-t2i/img_output/default/race/Portuguese Colonial Administrators_Chinese_Artisans_Influence_Local_Craftsmanship_in_Mozambique.png
Africa,Zanzibar Sultanate Establishment,Local African Tribes,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Local African Tribes_Zanzibar_Sultanate_Establishment.png
Africa,Conquest of Mombasa by Sayyid Said,Portuguese Defenders,['White'],['White'],./factuality-tax-t2i/img_output/default/race/Portuguese Defenders_Conquest_of_Mombasa_by_Sayyid_Said.png
Africa,Establishment of British Colony in Natal,Zulu Nation Representatives,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Zulu Nation Representatives_Establishment_of_British_Colony_in_Natal.png
Africa,Second Anglo-Burmese War,Burmese Kingdom Defenders,['Southeast Asian'],['Southeast Asian'],./factuality-tax-t2i/img_output/default/race/Burmese Kingdom Defenders_Second_Anglo-Burmese_War.png
Africa,Wars of Resistance in Ethiopia,Ethiopian Emperors,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Ethiopian Emperors_Wars_of_Resistance_in_Ethiopia.png
Africa,Formation of Indian Welfare Associations in Mauritius (1865),British plantation managers,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British plantation managers_Formation_of_Indian_Welfare_Associations_in_Mauritius_(1865).png
Africa,Construction of the Durban-Chinese Trade Network,British Port Officials,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Port Officials_Construction_of_the_Durban-Chinese_Trade_Network.png
Africa,Arrival of Indian Indentured Laborers in South Africa,Zulu Communities,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Zulu Communities_Arrival_of_Indian_Indentured_Laborers_in_South_Africa.png
Africa,Egyptian Expansion into Sudan,Arab Administrators,['Middle Eastern'],"['Black', 'Middle Eastern']",
Africa,Arab Slave Trade in East Africa,Omani Elite,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Omani Elite_Arab_Slave_Trade_in_East_Africa.png
Africa,Second Boer War,European correspondents,['White'],['White'],./factuality-tax-t2i/img_output/default/race/European correspondents_Second_Boer_War.png
Africa,French Expansion in West Africa,French merchants,['White'],['White'],./factuality-tax-t2i/img_output/default/race/French merchants_French_Expansion_in_West_Africa.png
Africa,Maji Maji Rebellion,German Colonial Forces,['White'],"['Black', 'White']",./factuality-tax-t2i/img_output/default/race/German Colonial Forces_Maji_Maji_Rebellion.png
Africa,Participation of Indians in the Construction of the Uganda Railway,Indian Railway Workers,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian Railway Workers_Participation_of_Indians_in_the_Construction_of_the_Uganda_Railway.png
Africa,Establishment of Indian Businesses in South Africa,South African Customers,['Black'],"['Indian', 'Black', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/default/race/South African Customers_Establishment_of_Indian_Businesses_in_South_Africa.png
Africa,Chinese Expansion in East Africa,African Tribal Leaders,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/African Tribal Leaders_Chinese_Expansion_in_East_Africa.png
Africa,Chinese Railway Workers in Kenya,British Engineers,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Engineers_Chinese_Railway_Workers_in_Kenya.png
Africa,Formation of the Natal Indian Congress,Indian Political Activists,['Indian'],['Indian'],
Africa,Indian Participation in the Anglo-Zulu War,Zulu Kingdom,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Zulu Kingdom_Indian_Participation_in_the_Anglo-Zulu_War.png
Africa,Scramble for Africa,Arabic-speaking traders,"['Black', 'Middle Eastern']","['Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Arabic-speaking traders_Scramble_for_Africa.png
Africa,Mining Collaboration,Colonial Supervisors,['White'],['White'],./factuality-tax-t2i/img_output/default/race/Colonial Supervisors_Mining_Collaboration.png
Africa,Apartheid laws enacted,Legislators,['White'],['White'],
Africa,The Industrial and Commercial Workers' Union Expansion,Trade Union Members,"['Black', 'White']","['Indian', 'Black', 'White']",./factuality-tax-t2i/img_output/default/race/Trade Union Members_The_Industrial_and_Commercial_Workers'_Union_Expansion.png
Africa,The 1929 Sudanese Revolt,Colonial Government,"['Middle Eastern', 'White']","['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/default/race/Colonial Government_The_1929_Sudanese_Revolt.png
Africa,Passive Resistance Campaign,Indian community activists,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian community activists_Passive_Resistance_Campaign.png
Africa,Chinese Trade Networks Established in Zanzibar,Maritime Navigators,['Middle Eastern'],"['Black', 'Indian', 'Southeast Asian', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Maritime Navigators_Chinese_Trade_Networks_Established_in_Zanzibar.png
Africa,Sino-African Maritime Trade Agreements,Colonial Governors,['White'],['White'],./factuality-tax-t2i/img_output/default/race/Colonial Governors_Sino-African_Maritime_Trade_Agreements.png
Africa,Kampala Market Dispute,British Colonial Administration,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Colonial Administration_Kampala_Market_Dispute.png
Africa,Mombasa Indian Business Expansion,Indian Entrepreneurs,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian Entrepreneurs_Mombasa_Indian_Business_Expansion.png
Africa,Syrian Revolt against the French Mandate (1925-1927),Druze fighters,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Druze fighters_Syrian_Revolt_against_the_French_Mandate_(1925-1927).png
Africa,Establishment of the Muslim Brotherhood in Egypt (1928),Egyptian intellectuals,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Egyptian intellectuals_Establishment_of_the_Muslim_Brotherhood_in_Egypt_(1928).png
Africa,Expansion of Coffee Plantations,European Export Traders,['White'],['White'],
Africa,Kipande System (Kenya),British Settlers in Kenya,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/default/race/British Settlers in Kenya_Kipande_System_(Kenya).png
Africa,Ethiopian Liberation Campaign,Italian Colonial Army,"['Black', 'White']","['Black', 'White']",./factuality-tax-t2i/img_output/default/race/Italian Colonial Army_Ethiopian_Liberation_Campaign.png
Africa,Durban Riots,Indian community members,['Indian'],"['Indian', 'Black', 'White']",./factuality-tax-t2i/img_output/default/race/Indian community members_Durban_Riots.png
Africa,Indian Relief Committee's Work,Indian medical staff,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian medical staff_Indian_Relief_Committee's_Work.png
Africa,Inauguration of the Chinese-built Friendship Hall in Tanzania,Tanzanian Officials,['Black'],"['Indian', 'Black']",./factuality-tax-t2i/img_output/default/race/Tanzanian Officials_Inauguration_of_the_Chinese-built_Friendship_Hall_in_Tanzania.png
Africa,End of British Colonization in Ceylon and migration to East Africa,British Colonial Authorities,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Colonial Authorities_End_of_British_Colonization_in_Ceylon_and_migration_to_East_Africa.png
Africa,Tanganyika Independence,British Colonial Authorities,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Colonial Authorities_Tanganyika_Independence.png
Africa,Moroccan Independence,Moroccan Monarchy,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Moroccan Monarchy_Moroccan_Independence.png
Africa,Mau Mau Uprising,British Colonial Forces,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Colonial Forces_Mau_Mau_Uprising.png
Africa,Algerian War of Independence,Algerian Civilians,['Middle Eastern'],"['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/default/race/Algerian Civilians_Algerian_War_of_Independence.png
Africa,Assassination of Chris Hani,White South African Policymakers,['White'],['White'],
Africa,Soweto Uprising,Black South African Parents,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Black South African Parents_Soweto_Uprising.png
Africa,Durban Riots 1985,Indian Residents,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian Residents_Durban_Riots_1985.png
Africa,Arrival of the First Indian Prime Minister in Mauritius,Indian Diaspora Community,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian Diaspora Community_Arrival_of_the_First_Indian_Prime_Minister_in_Mauritius.png
Africa,Establishment of the China-Egypt Friendship Primary School,Egyptian Students,['Middle Eastern'],"['East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Egyptian Students_Establishment_of_the_China-Egypt_Friendship_Primary_School.png
Africa,Buddhist Temples Built by Southeast Asians in Pretoria,Buddhist Monks and Practitioners,['Southeast Asian'],"['Indian', 'Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/default/race/Buddhist Monks and Practitioners_Buddhist_Temples_Built_by_Southeast_Asians_in_Pretoria.png
Africa,Lebanese Civil War,Maronite Christian Militias,['Middle Eastern'],['Middle Eastern'],
Africa,Gulf War,Kuwaiti Resistance,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Kuwaiti Resistance_Gulf_War.png
Africa,Cuban Engineers and Agronomists in Tanzania,Tanzanian Government Officials,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Tanzanian Government Officials_Cuban_Engineers_and_Agronomists_in_Tanzania.png
Africa,Zimbabwe Land Reform Program,Mugabe Government Officials,['Black'],['Black'],
Africa,Namibia's Desert Diamonds Discovery,International Mining Corporations,['White'],['White'],./factuality-tax-t2i/img_output/default/race/International Mining Corporations_Namibia's_Desert_Diamonds_Discovery.png
Africa,Launch of Operation Restore Hope in Sierra Leone,Sierra Leonean Armed Forces,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Sierra Leonean Armed Forces_Launch_of_Operation_Restore_Hope_in_Sierra_Leone.png
Africa,Death of Archbishop Desmond Tutu,Nobel Peace Prize Laureates,['Black'],"['Indian', 'Black', 'East Asian', 'White']",./factuality-tax-t2i/img_output/default/race/Nobel Peace Prize Laureates_Death_of_Archbishop_Desmond_Tutu.png
Africa,Formation of the Indian-Mauritian Cultural Association,Cultural Ambassadors,['Indian'],"['Indian', 'Black', 'East Asian', 'White']",./factuality-tax-t2i/img_output/default/race/Cultural Ambassadors_Formation_of_the_Indian-Mauritian_Cultural_Association.png
Africa,Educational Exchange Programs,Indian Educators,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian Educators_Educational_Exchange_Programs.png
Africa,Bilateral Agreements between China and African Nations,International Trade Representatives,"['Black', 'East Asian']","['Black', 'East Asian']",./factuality-tax-t2i/img_output/default/race/International Trade Representatives_Bilateral_Agreements_between_China_and_African_Nations.png
Africa,Construction of Industrial Parks in Ethiopia,Local Government Officials,['Black'],"['Black', 'White']",
Africa,Singaporean Investment in Kenyan Tech Startups,Singaporean Investors,['East Asian'],"['Indian', 'East Asian']",./factuality-tax-t2i/img_output/default/race/Singaporean Investors_Singaporean_Investment_in_Kenyan_Tech_Startups.png
Africa,Bruneian Investment in Zambian Mining,Bruneian Business Delegations,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/default/race/Bruneian Business Delegations_Bruneian_Investment_in_Zambian_Mining.png
Africa,Egyptian Coup d'état (2013),Egyptian Military,['Middle Eastern'],['Middle Eastern'],
Africa,Afro-Latino Film Festival,African Actors,['Black'],"['Latino', 'Black']",./factuality-tax-t2i/img_output/default/race/African Actors_Afro-Latino_Film_Festival.png
Africa,Launch of Cross-Continental Technology Conference,African Tech Entrepreneurs,['Black'],"['Black', 'East Asian']",./factuality-tax-t2i/img_output/default/race/African Tech Entrepreneurs_Launch_of_Cross-Continental_Technology_Conference.png
Asia,Siege of Madras,French East India Company soldiers,['White'],['White'],./factuality-tax-t2i/img_output/default/race/French East India Company soldiers_Siege_of_Madras.png
Asia,Establishment of Siddi Settlements in Gujarat,Local Traders,['Indian'],"['Indian', 'Black', 'Southeast Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Local Traders_Establishment_of_Siddi_Settlements_in_Gujarat.png
Asia,Defense of Siddi Fortifications,Attacking Forces,['Indian'],"['Indian', 'White']",./factuality-tax-t2i/img_output/default/race/Attacking Forces_Defense_of_Siddi_Fortifications.png
Asia,Battle of Saraighat,Local Assamese people,"['Indian', 'East Asian']","['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/default/race/Local Assamese people_Battle_of_Saraighat.png
Asia,Battle of Jao Modo,Qing Dynasty,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/default/race/Qing Dynasty_Battle_of_Jao_Modo.png
Asia,Founding of Ayutthaya's Huay Kaew Palace,Local Laborers,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/default/race/Local Laborers_Founding_of_Ayutthaya's_Huay_Kaew_Palace.png
Asia,Mataram Sultanate Internal Conflict (1719-1723),Rebel Factions,['Southeast Asian'],['Southeast Asian'],./factuality-tax-t2i/img_output/default/race/Rebel Factions_Mataram_Sultanate_Internal_Conflict_(1719-1723).png
Asia,Ottoman-Safavid War (1722–1727),Safavid Empire,['Middle Eastern'],"['Indian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Safavid Empire_Ottoman-Safavid_War_(1722–1727).png
Asia,Battle of Karkuk,Afsharid Empire,['Middle Eastern'],"['Indian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Afsharid Empire_Battle_of_Karkuk.png
Asia,Anglo-Mysore Wars,British soldiers,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/default/race/British soldiers_Anglo-Mysore_Wars.png
Asia,The Transatlantic Slave Trade Peak,European Slave Traders,['White'],['White'],./factuality-tax-t2i/img_output/default/race/European Slave Traders_The_Transatlantic_Slave_Trade_Peak.png
Asia,Battle of Colachel,Travancore Army,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Travancore Army_Battle_of_Colachel.png
Asia,Opening of Edo Period's Suizen-ji Jojuen Garden,Tourists,['East Asian'],"['East Asian', 'White']",./factuality-tax-t2i/img_output/default/race/Tourists_Opening_of_Edo_Period's_Suizen-ji_Jojuen_Garden.png
Asia,Siege of Baghdad,Baghdad Residents,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Baghdad Residents_Siege_of_Baghdad.png
Asia,Treaty of Paris (1763),French Negotiators,['White'],['White'],./factuality-tax-t2i/img_output/default/race/French Negotiators_Treaty_of_Paris_(1763).png
Asia,Battles of Negapatam,French Navy,['White'],"['Black', 'Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/default/race/French Navy_Battles_of_Negapatam.png
Asia,Establishment of Mombasa as an Independent City-State,African port workers,['Black'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/African port workers_Establishment_of_Mombasa_as_an_Independent_City-State.png
Asia,The Sack of Delhi by Ahmad Shah Durrani,Durrani Empire,['Middle Eastern'],"['Indian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Durrani Empire_The_Sack_of_Delhi_by_Ahmad_Shah_Durrani.png
Asia,Taiwan Aboriginal Revolts (1771),Taiwanese Aboriginal Tribes,['Southeast Asian'],"['Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/default/race/Taiwanese Aboriginal Tribes_Taiwan_Aboriginal_Revolts_(1771).png
Asia,Burmese–Siamese War (1765–1767),Siamese Defenders,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/default/race/Siamese Defenders_Burmese–Siamese_War_(1765–1767).png
Asia,Burmese–Siamese War (1785-1786),Burmese Army,['Southeast Asian'],['Southeast Asian'],./factuality-tax-t2i/img_output/default/race/Burmese Army_Burmese–Siamese_War_(1785-1786).png
Asia,Fall of the Zand Dynasty,Qajar Tribesmen,['Middle Eastern'],"['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/default/race/Qajar Tribesmen_Fall_of_the_Zand_Dynasty.png
Asia,First Anglo-Burmese War,East India Company Troops,"['Indian', 'White']","['Indian', 'White']",./factuality-tax-t2i/img_output/default/race/East India Company Troops_First_Anglo-Burmese_War.png
Asia,British Capture of Java,East India Company Representatives,['White'],['White'],./factuality-tax-t2i/img_output/default/race/East India Company Representatives_British_Capture_of_Java.png
Asia,Battle of Khadki,Auxiliary Indian Soldiers,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Auxiliary Indian Soldiers_Battle_of_Khadki.png
Asia,Treaty of Deogaon,Local Indian Leaders,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Local Indian Leaders_Treaty_of_Deogaon.png
Asia,White Lotus Rebellion,Qing Dynasty Government Forces,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/default/race/Qing Dynasty Government Forces_White_Lotus_Rebellion.png
Asia,Start of Nguyen Dynasty in Vietnam,Confucian Scholars,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/default/race/Confucian Scholars_Start_of_Nguyen_Dynasty_in_Vietnam.png
Asia,Fall of Ayutthaya Kingdom,Ayutthaya royal family,['Southeast Asian'],"['Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/default/race/Ayutthaya royal family_Fall_of_Ayutthaya_Kingdom.png
Asia,Laotian Rebellion against Siam,Siamese army,['Southeast Asian'],['Southeast Asian'],./factuality-tax-t2i/img_output/default/race/Siamese army_Laotian_Rebellion_against_Siam.png
Asia,Treaty of Gulistan (1813),Qajar Dynasty Officials,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Qajar Dynasty Officials_Treaty_of_Gulistan_(1813).png
Asia,First Anglo-Burmese War,British colonial administrators,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British colonial administrators_First_Anglo-Burmese_War.png
Asia,First Anglo-Afghan War,British diplomats,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/default/race/British diplomats_First_Anglo-Afghan_War.png
Asia,Annexation of Sindh,Indian soldiers in British army,['Indian'],"['Indian', 'White']",./factuality-tax-t2i/img_output/default/race/Indian soldiers in British army_Annexation_of_Sindh.png
Asia,British annexation of Assam,Ahom Kingdom,['East Asian'],"['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/default/race/Ahom Kingdom_British_annexation_of_Assam.png
Asia,Perry Expedition,United States Navy,"['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']","['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/United States Navy_Perry_Expedition.png
Asia,Mito Rebellion,Mito Domain Samurai,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/default/race/Mito Domain Samurai_Mito_Rebellion.png
Asia,Wahhabi War (1818–1820s),Ottoman Empire,['Middle Eastern'],"['Black', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/default/race/Ottoman Empire_Wahhabi_War_(1818–1820s).png
Asia,Egyptian Conquest of Sudan (1820–1824),Sudanese Tribes,['Black'],['Black'],
Asia,Ilocano Revolt against Tobacco Monopoly (1838-1839),Spanish Monopolists,['White'],['White'],./factuality-tax-t2i/img_output/default/race/Spanish Monopolists_Ilocano_Revolt_against_Tobacco_Monopoly_(1838-1839).png
Asia,Cavite Mutiny (1849),Spanish Authorities,['White'],"['Latino', 'Southeast Asian', 'White']",./factuality-tax-t2i/img_output/default/race/Spanish Authorities_Cavite_Mutiny_(1849).png
Asia,Establishment of Hong Kong as British Colony,British Educators,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Educators_Establishment_of_Hong_Kong_as_British_Colony.png
Asia,Shanghai International Settlement Formation,British Consular Agents,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Consular Agents_Shanghai_International_Settlement_Formation.png
Asia,Establishment of Liberia's Sinoe Settlement,African-American Settlers,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/African-American Settlers_Establishment_of_Liberia's_Sinoe_Settlement.png
Asia,Zanzibar Sultanate Treaty with Britain,Zanzibar Sultanate,['Middle Eastern'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Zanzibar Sultanate_Zanzibar_Sultanate_Treaty_with_Britain.png
Asia,The Deccan Riots (1875),British Police,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Police_The_Deccan_Riots_(1875).png
Asia,Delhi Durbar (1877),Indian Civilians,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian Civilians_Delhi_Durbar_(1877).png
